ku_hackfest_part_1_0	यो पुस्तक पढेपछि
ku_hackfest_part_2_508	जहाँज थोकिन सक्छ 
ku_hackfest_part_2_509	ईन्जिन कक्षको मानिसले दिएको आदेशको पालना गर्नुपर्छ
ku_hackfest_part_2_510	किन भने 
ku_hackfest_part_2_511	उसको काम तेही हो जस्तै असुली क्याप्टेन संग संकेत
ku_hackfest_part_2_512	आदिबारे कुरा गर्दैनन् किनभने ईन्जिन कक्षका मानिस यसमा जिम्मेवार हुन्छन्
ku_hackfest_part_2_513	कप्तैन जहाँजको मालीक हो
ku_hackfest_part_2_514	र उसले बनाएको नियम अनुसार काम हुने गर्छ
ku_hackfest_part_2_515	त्यसए गरी चेतन मस्तिष्क तपाईंको जहाजको कप्तैन र मालिक हो
ku_hackfest_part_2_516	तपाईंको शरिर वरीपरीको वातावरण र तपाईंको सबै मामिलाहरु को मलिक 
ku_hackfest_part_2_517	तपाईंको अवचेतन मस्तिष्कले तपाईले दिएको आदेशको पालना गर्छ
ku_hackfest_part_2_518	ति आदेस चेतन मस्तिष्कले विश्वास गर्ने
ku_hackfest_part_2_519	र वास्तविक थान्ने यथर्थहरूको
ku_hackfest_part_2_520	आधारमा हुने गर्छन
ku_hackfest_part_2_521	यसले ती आदेशको नाता मध्येका हुन् भनेर प्रश्न गर्दैन
ku_hackfest_part_2_522	यदि तपाईले आफुलाई
ku_hackfest_part_2_523	बाराम बार 
ku_hackfest_part_2_524	मैले यो सामग्री किन्न सक्दिन भन्नुहुन्छ भने तपाईंको अबचेतन मस्तिष्कले यो कुरालाई
ku_hackfest_part_2_525	मैले नसक्ने रहेछु भनेर
ku_hackfest_part_2_526	सक्दछ
ku_hackfest_part_2_527	बुझ्ने गर्दछ
ku_hackfest_part_2_528	त्यत्तीन्जेल तपाईंले
ku_hackfest_part_2_529	भैले यो कार किन्न सक्दिन त्यो घर किन्न सक्दिन भन्ने सोच्नुहुन्छ
ku_hackfest_part_2_530  तयतीन जेल तपाईंको अवचेतन मस्तिष्कले
ku_hackfest_part_2_533	र परिस्थितिले गर्दा
ku_hackfest_part_2_534	मैले किन्न सकिन भन्ने सम्झनु हुनेछ
ku_hackfest_part_2_535	आफ्नो नकारात्मक विचारद्वारा नै तेस्तो स्थिति
ku_hackfest_part_2_536	सिर्जना भएको भन्ने कहिल्यै महसुस गर्न सक्नुहुने छैन
ku_hackfest_part_2_537	हुनाले एकदिन पशुमा एउटा औधि राम्रो छालाको बयाग देखिन्
ku_hackfest_part_2_538	मूल्य हेर्दा उनी झस्किन
ku_hackfest_part_2_539	निकेै महँगो रहेछ
ku_hackfest_part_2_540	मैलेो बयाग कहिले किन्न सक्दिन भन्ने
ku_hackfest_part_2_541	लागेकै थिएन
ku_hackfest_part_2_542	यतिखेर उनले मैले सिकाएको सम्झिन र भनिन्
ku_hackfest_part_2_543	यो बयाग
ku_hackfest_part_2_544	मेरो
ku_hackfest_part_2_545	यो बिक्री मा छ 
ku_hackfest_part_2_546	मइले यसलाइ  मानसिकरूपले स्वीकारीसके
ku_hackfest_part_2_547	मेरो अवचेतन मस्तिष्क मार्फत
ku_hackfest_part_2_548	यो बयाग मैले
ku_hackfest_part_2_549	लिसकेको देखिएको छु
ku_hackfest_part_2_550	त्य्ही दिन उनले उनको हुनेवाला पतिलाई खाना खान बोलाएकी थिइन्
ku_hackfest_part_2_551	उ खाना खान अहुँदाा
ku_hackfest_part_2_552	उनका लागि राम्ररी बेरिएको कोसेली लिएर आएको थियो
ku_hackfest_part_2_553	खोलेर हेर्दा निमाले देखिन् त्यो कोसेली अरू केही नभएर
ku_hackfest_part_2_554	तेही चला को बयाग 
ku_hackfest_part_2_557	चरालङ थाहा पाएम 
ku_hackfest_part_2_558	उनको अवश्य हो मस्तिष्कले कसरी प्रत्युत्तर दियो 
ku_hackfest_part_2_559	केही महिना पहिला
ku_hackfest_part_2_560	निरु भाषण सुने के रुप नामकी महिलाले पठाएको चिठी
ku_hackfest_part_2_561	अझै पनि म सम्झन्छु
ku_hackfest_part_2_562	म
ku_hackfest_part_2_563	पचत्तर वर्षकी विद्वावा 
ku_hackfest_part_2_564	हाम्रो परिवार
ku_hackfest_part_2_565	भइसकेको छ
ku_hackfest_part_2_566	म समान्य पेन्सन र सामाजिक सुरक्षामा एकल बस्थे
ku_hackfest_part_2_567	मेरो जीवन उजाद र निरास थियो
ku_hackfest_part_2_568	यही बेला अवचेतन मस्तिष्कको शक्तिको कुमारी तपाईंको भाषण सुन्दै
ku_hackfest_part_2_569	तपाईंले विचारहरु आस्था पूर्व अवचेतन मस्तिष्कमा सम्प्रेसीत गर्न सकिन्छ भनेर
ku_hackfest_part_2_570	बताउनुभएको थियो के यो सचो होला त मईले प्रयोग गरी हेर्ने निदो गरे एसो हेर्दा के बिगृन्थियो र 
ku_hackfest_part_2_571	मैले बारम्बार पूरा संवेदनाका साथ मनाउन थाले
ku_hackfest_part_2_572	मलाई सबैले छाठ मान्छन् माया गर्छन्
ku_hackfest_part_2_573	म माया लोकप्रिय
ku_hackfest_part_2_574	र आध्यात्मिक झुकाव भएको मानिससँग सुखध रुपले विवाह बन्धनमा बाँधिएको छु 
ku_hackfest_part_2_575	म सुरक्षित र परिपूर्ण छ
ku_hackfest_part_2_576	मैले झण्डै
ku_hackfest_part_2_577	दुई हप्ता यस्ता कुरा
ku_hackfest_part_2_578	दोराइ रहे 
ku_hackfest_part_2_579	एकदिन एउटा अौषधि पसलमा 
ku_hackfest_part_2_580	एक जना सेवानिवृत्त व्यक्ति सुमेरु परिषद
ku_hackfest_part_2_581	मैले गोप्य समचदार र निकै धार्मिक भएको पाए
ku_hackfest_part_2_582	ऊ प्राथनाको वास्तविक प्रत्युत्तर थियो
ku_hackfest_part_2_583	एकसाताभित्र स्त्री मलाई विवाहको प्रस्ताव राख्यो
ku_hackfest_part_2_584	अहिले हामी युरोपमा
ku_hackfest_part_2_585	हनीमुन मनाई रहेका छौ 
ku_hackfest_part_2_586	मलाई लाग्छ मेरो अवचेतन मस्तिष्कको बुद्धिमताले
ku_hackfest_part_2_587	हामी दुईलाई एक्साथ बनाएको
ku_hackfest_part_2_588	रुद्री खजना को घटना आफूभित्रै रहेको पाएकै थिइन्
ku_hackfest_part_2_589	उनको प्रार्थना मनले  यथार्थको रुपमा स्वीकार गरेको थियो उनको स्वीकारोक्ति अवचेतन मस्तिष्कमा
ku_hackfest_part_2_590	गहिरो छाप परेको थियो
ku_hackfest_part_2_591	यथा समयमा सो मस्तिष्कले आकर्षणको कानुनवारा उनका आकांक्षापूरा गरिदियो 
ku_hackfest_part_2_592	विवेक र बुद्धिमत्ताले भरपुण उनको गहन अवचेतन मस्तिष्कले
ku_hackfest_part_2_593	उनी उनको पतिलाई
ku_hackfest_part_2_595	जे जति कुराहरु सही छन्
ku_hackfest_part_2_596	जे जति कुराहरु इमान्दार छन्
ku_hackfest_part_2_597	जे जति कुराहरु
ku_hackfest_part_2_599	जे जति कुराहरु
ku_hackfest_part_2_600	विशुद्ध सम्झे जति कुराहरु प्रेमपूर्ण छन् जे जति कुराहरु तिनका कुनै गुणका कारणले
ku_hackfest_part_2_601	र कुनै प्रशंसाले
ku_hackfest_part_2_602	राम्रो भनिएका छन कुराहरूको बारेमा सोच्नुहोस्
ku_hackfest_part_2_603	सम्झन पर्ने कुराहरु
ku_hackfest_part_2_604	एक
ku_hackfest_part_2_605	खजाना तपाईको भित्र छ
ku_hackfest_part_2_606	आफ्नो इच्छाको जवाफ
ku_hackfest_part_2_607	आफैभित्र खोज्नुहोस
ku_hackfest_part_2_608	दुई
ku_hackfest_part_2_609	सबै युगका महान व्यक्तिहरू महान रहस्य
ku_hackfest_part_2_610	उनिहरुमा आफ्नो अवचेतन मनल मनको शक्तिसँग सम्पर्क गर्ने र त्यसलाई उजागर गर्ने प्रतिभा थियो
ku_hackfest_part_2_611	तपाईं पनि 
ku_hackfest_part_2_612	तेस्तए गर्न सक्नुहुन्छ
ku_hackfest_part_2_613	तीन
ku_hackfest_part_2_614	तपाईंको अवचेतन मन सँग सबै समस्याको जवाफ छ यदि तपाईं सुत्नु हुन्न पहिली अवचेतन मन सँग म बिहान 6 बजे उठ्न चाहन्छु भन्नु भयो भने तपाईलाई ठिकै समयमा
ku_hackfest_part_2_615	जगाई दिनेछ
ku_hackfest_part_2_616	चार
ku_hackfest_part_2_617	तपाईंको अवचेतन मनल तपाईंको शरीरको निर्माता हो
ku_hackfest_part_2_618	र तपाईंको
ku_hackfest_part_2_619	उपचार गर्न सक्दछ
ku_hackfest_part_2_620	हरेक रात पूर्ण स्वास्थ्यको बिचार साथ सुत्न जानुस
ku_hackfest_part_2_621	र तपाईंको
ku_hackfest_part_2_622	आज्ञाकारी सेवक अर्थात्
ku_hackfest_part_2_623	अवचेतन मनले
ku_hackfest_part_2_624	तपाईको आदेशको पालना गर्नेछ
ku_hackfest_part_2_625	पाँच
ku_hackfest_part_2_626	हरेक विचार एउटा कारण हो
ku_hackfest_part_2_627	र हरेक परिस्थिति एउटा परीणाम हो
ku_hackfest_part_2_628	छ
ku_hackfest_part_2_629	तपाई पुस्तक लेख्न चाहनुहुन्छ
ku_hackfest_part_2_630	उत्कृष्ट नाटक लेख्न चाहनुहुन्छ
ku_hackfest_part_2_631	र आफ्नो स्रोता सामु निकै राम्रो भाषण दिन चाहनुहुन्छ भने यो विचार भावना र प्रेमसँग आफ्नो अवचेतन मन सम्म पुर्याउनुहोस्
ku_hackfest_part_2_632	यसले उक्त विषयमा
ku_hackfest_part_2_633	यस अनुरुप प्रतिक्रिया गर्दछ साथै जहाजको कप्तान जस्तै हुनुहुन्छ
ku_hackfest_part_2_634	अहिले सोही निर्देशन दिनुपर्ने छ होइन भने
ku_hackfest_part_2_635	जहाज
ku_hackfest_part_2_636	दुर्घटनाग्रस्त हुनेछ
ku_hackfest_part_2_637	सोही प्रकरले तपाईंले आफ्नो अवचेतन मनलाई sahi सही आकर्, विचार र तस्विर  दिनुपर्नेछ
ku_hackfest_part_2_638	जुन तपाईंको
ku_hackfest_part_2_639	सबै अनुभवलाई
ku_hackfest_part_2_640	नियन्त्रित गर्दछ
ku_hackfest_part_2_641	आठ
ku_hackfest_part_2_642	यस्तो प्रकारको वाक्यको प्रयोग कहिल्यै नगर्नुस्
ku_hackfest_part_2_643	म सग यस्को लागि पैसा छैन
ku_hackfest_part_2_644	वा मम
ku_hackfest_part_2_645	यो काम गर्न सक्दैन
ku_hackfest_part_2_646	तपाई जे सोच्नु हुन्छ तपाईंको अबचेतन मनले त्यस कुरालाई सत्य थाल्छ
ku_hackfest_part_2_647	तपाई संग सधैं पैसा नरहोस
ku_hackfest_part_2_648	वा त्यो काम गर्ने क्षमता नरहोस
ku_hackfest_part_2_649	यो भन्दा दृढ भएर भन्नुस्
ku_hackfest_part_2_650	म आफ्नो अवचेतन मनको शक्तिले
ku_hackfest_part_2_651	सारा कम गर्नसक्छु 
ku_hackfest_part_2_652	जीवनको नियम विश्वासको नियम हो विश्वास तपाईंको मस्तिष्कको एउटा विचार हो 
ku_hackfest_part_2_653	त्यो चीजमा विश्वास नगर्नुस् जसले तपाईलाई नोक्सान र चोट पुर्याउँदछ
ku_hackfest_part_2_654	आफ्नो अवचेतन मनको शक्तिमा विश्वास गर्नुस् यसले तपाईंको उपचार गर्नेछ
ku_hackfest_part_2_655	प्रेरित गर्नेछ
ku_hackfest_part_2_656	शक्तिशाली एवम समृद्ध बनाउने छ भन्ने 
ku_hackfest_part_2_657	मिसमास राख्नुस्
ku_hackfest_part_2_658	तपाईको विश्वास अनुरुप 
ku_hackfest_part_2_659	तपाईले पाउनुहुनेछ
ku_hackfest_part_2_660	दश
ku_hackfest_part_2_661	आफ्नो विचार बदल्नुहोस्
ku_hackfest_part_2_662	तपाईको भविष्य
ku_hackfest_part_2_663	आफ्नै
ku_hackfest_part_2_664	बदलिने छ
ku_hackfest_part_2_666	बदलिने छ
ku_hackfest_part_3_0	तपाईंले तार्किकमौनको स्तरमा विचार गर्नु हुन्छ तपाईंको नियमित विचार
ku_hackfest_part_3_1	अवचेतन मनमा गहिरिएर बसेको हुन्छ
ku_hackfest_part_3_2	त्यसले विचार अनुरुपको यथार्थ सिर्जना गर्दछ
ku_hackfest_part_3_3	अवचेतन मन उत्तेजना र भावको थलो हो
ku_hackfest_part_3_5	अति सिर्जनशील हुन्छ
ku_hackfest_part_3_6	तपाईंले सकारात्मक सोच्नुहुन्छ भने परीणाम सकारात्मक हुन्छ
ku_hackfest_part_3_7	र नकारात्मक सोचले
ku_hackfest_part_3_8	नकारात्मक परिणीति सिर्जना गर्दछ
ku_hackfest_part_3_9	मनले यही सरल विधि विधिबाट काम गर्छ
ku_hackfest_part_3_10	याद राख्ने पर्ने कुरा के हो भने
ku_hackfest_part_3_11	अवचेतन मनले कुनैपनि विचारलाई स्वीकार गर्छ
ku_hackfest_part_3_12	जसले सो विचारलाई
ku_hackfest_part_3_13	कार्यान्वयन गर्न थाल्छ
ku_hackfest_part_3_14	यो एउटा रोचक अनि सुष्म सत्य नै हो
ku_hackfest_part_3_15	अवचेतन मनले सकारात्मक र नकारात्मक विचारमा
ku_hackfest_part_3_16	भेदभाव नगरी
ku_hackfest_part_3_17	सम्मान प्रतिक्रिया जनाउँछ
ku_hackfest_part_3_18	यही नकरात्मक विचारमा जब यो नियम लागु हुन्छ
ku_hackfest_part_3_19	यसले असफलता अन्योल र दुख जन्माउछ
ku_hackfest_part_3_20	यस विपरित जब विचार आनन्ददायक रचनात्मक हुन्छ
ku_hackfest_part_3_21	तपाईंले राम्रो स्वास्थ्य सफलता
ku_hackfest_part_3_22	र सम्पूर्णता हासिल गर्न सक्नुहुन्छ तपाईँले सकारात्मक सोच विचार गर्दा त्यसमा भाव समेत जोड्नु भयो भने
ku_hackfest_part_3_23	शारीरिक र मानसिक स्वास्थ्य तपाईंको अभिन्न अङ्ग बन्छ
ku_hackfest_part_3_24	तपाईंले मनमा अडान लिएका
ku_hackfest_part_3_25	र यथार्थ मानेका हरेक कुरालाई
ku_hackfest_part_3_26	तपाईंको
ku_hackfest_part_3_27	अवचेतन मनले स्वीकार गर्छ
ku_hackfest_part_3_28	र तपाईंको अनुभवमा जोड्दछ
ku_hackfest_part_3_29	मात्र तपाईंले आफ्नो विचारलाई
ku_hackfest_part_3_30	अवचेतन मनको स्तरमा स्वीकृत
ku_hackfest_part_3_31	तर मान्ने बनाउनुपर्छ
ku_hackfest_part_3_32	त्यसपछि अवचेतन मनको वास्तविक स्वभावले
ku_hackfest_part_3_33	तपाईंले चाहनुभएको स्वास्थ्य शक्ति वा पद
ku_hackfest_part_3_34	प्रतिष्ठाको प्राप्ति सम्भव बनाउँछ
ku_hackfest_part_3_35	जसै तपाईले स्पष्ट आदेश दिनुहुन्छ
ku_hackfest_part_3_36	तपाईंको अवचेतन मनले
ku_hackfest_part_3_37	त्यसलाई यथार्थ बनाउने प्रतिक्रियात्मक प्रज्ञा शुरु गर्दछ
ku_hackfest_part_3_38	तपाईंको चेतन मनले मान्यता दिएको अनुरूप
ku_hackfest_part_3_39	अवचेतन मनले प्रतिक्रिया दिन्छ
ku_hackfest_part_3_40	मनोविज्ञी र मनोचिकित्सकका अनुसार अवचेतन मनमा सन्देश वा संकेत प्रवाह हुँदा मस्तिष्कको कोषमा अंकित हुन्छ छाप पर्छ
ku_hackfest_part_3_41	अवचेतन मनले कुनैपनि विचार स्वीकार गर्ने बित्तिकै
ku_hackfest_part_3_42	यसलाई प्रभावकारी बनाउने काम सुरु गरिहाल्छ
ku_hackfest_part_3_43	यसले पुरानो अनुभव र सम्बन्धित घटनाबाट संकलित सम्पूर्ण ज्ञान
ku_hackfest_part_3_44	सो कार्यमा पूर्णताका साथ लगानी गर्दछ
ku_hackfest_part_3_45	यसले तपाई भित्र अनन्त शक्ति ऊर्जा र ज्ञान उजागर गर्छ
ku_hackfest_part_3_46	यसले कार्य पूरा गर्न प्रकृतिका सम्पुर्ण नियमलाई
ku_hackfest_part_3_47	आफ्नो हितमा प्रयोग गर्छ
ku_hackfest_part_3_48	कहिलेकाहीँ तपाईंको समस्यामा तत्काल समाधान भएपनि
ku_hackfest_part_3_49	कतिपय अवस्थामा केही दिन
ku_hackfest_part_3_50	हप्ता
ku_hackfest_part_3_51	वा त्यो भन्दा लामो समय पनि लाग्नसक्छ
ku_hackfest_part_3_52	कति छिटो समाधान हुन्छ भन्ने कुरा तपाईंका विगतका क्रियाकलापहरुमा
ku_hackfest_part_3_53	भर पर्दछ
ku_hackfest_part_3_61	उदाहरणका लागि तपाईं आफूले पढ्ने पुस्तक
ku_hackfest_part_3_62	आफ्नो लागि घर या जीवन साथी छनौट गर्नुहुन्छ
ku_hackfest_part_3_63	यही सम्पूर्ण निर्णय चेतन मनले गर्दछ
ku_hackfest_part_3_64	अर्कातिर कुनै सचित्र योजनाबिना तपाईंको मुटु धड्की रहन्छ
ku_hackfest_part_3_65	र पाचन क्रिया रक्तसञ्चार अनि स्वासप्रस्वास चलिरहन्छ
ku_hackfest_part_3_66	यी कार्य चेतन मनको नियन्त्रण बिनानै अवचेतन मनले सम्पुर्ण गर्दछ
ku_hackfest_part_3_67	तपाईंको चेतन मनले सही मान्ने
ku_hackfest_part_3_68	र अवचेतन मनमा सञ्चार गर्ने कुनै पनि कुरा
ku_hackfest_part_3_69	अवचेतन मनले
ku_hackfest_part_3_70	स्वीकार गर्दछ
ku_hackfest_part_3_71	विश्वास गर्दछ यसले चेतनले जस्तो
ku_hackfest_part_3_72	तर्क गर्दैन
ku_hackfest_part_3_73	र दिएको तथ्यमा कुनै विभाग पनि गर्दैन
ku_hackfest_part_3_74	तपाईंको अवचेतन मन त्यो उर्वरभूमि हो
ku_hackfest_part_3_75	जसमा असल या खराब दुवैथरी उम्रन सक्छ विचार र विश्वास मनका बीउ हुन्
ku_hackfest_part_3_76	नकारात्मक र हिंसक विचारहरु निरन्तर नकारात्मक रुपमा
ku_hackfest_part_3_77	कार्यरत रहन्छन्
ku_hackfest_part_3_78	र केही समयपछि त्यसै अनुरुपका घटना र परिस्थिति बनेर देखापर्छ
ku_hackfest_part_3_79	किनभने
ku_hackfest_part_3_80	अवचेतन मनले पहिले नै यी घटना र परिस्थितिको अनुभव गरिसकेको हुन्छ
ku_hackfest_part_3_81	अवचेतन मनले तपाईंका मनका सोचाइहरु
ku_hackfest_part_3_82	राम्रा वा नराम्रा
ku_hackfest_part_3_83	सत्य वा झुठा हुन् भन्ने कुरा
ku_hackfest_part_3_84	प्रमाणित नगरी तपाईंको विचार वा सुझावको प्रकृतिअनुसार प्रतिक्रिया दिन्छ
ku_hackfest_part_3_85	उदाहरणको लागि
ku_hackfest_part_3_86	यदि कुनै कुरा गलत भए तपाईंले त्यसलाई सचेत रूपमा यही मान्नु भएपनि
ku_hackfest_part_3_87	तपाईंको अवचेतन मनले यसलाई सत्य कुराको रुपमा स्वीकार गर्नेछ र यसलाई
ku_hackfest_part_3_88	परीणाम निकाल्ने दिशामा अगाडी बढाउछ
ku_hackfest_part_3_89	जसलाई तपाईंले अनुसरण गर्नुपर्दछ
ku_hackfest_part_3_90	किनभने सचित रूपमा तपाईंले यसलाई सत्य भनी मान्नुभयो
ku_hackfest_part_3_92	मनोविज्ञहरु को प्रयोग
ku_hackfest_part_3_93	मनोविज्ञान र अन्य अनुसन्धानकर्ताको द्वारा सम्मोहित अवस्थाका व्यक्तिहरुमा गरिएका
ku_hackfest_part_3_94	असंख्य प्रयोगमा के देखिएको छ भने
ku_hackfest_part_3_95	अवचेतन मन छनौट गर्न र तुलना गर्न असक्षम छ
ku_hackfest_part_3_96	ती प्रयोगमा अवचेतन मनमा संसारे सुझाव जति नै झुटो वा आधारहीन भएमा पनि
ku_hackfest_part_3_97	स्वीकार गर्छन् भनी निष्कर्ष निस्केको छ
ku_hackfest_part_3_98	एकपटक कुनै सुझाव स्वीकार गरिसकेपछि अवचेतन मनले त्यसै अनुरुपको परिस्थिति सिर्जना गर्न तल्लीन हुन्छ
ku_hackfest_part_3_99	संसारे सुझावमाथि अवचेतन मनको स्वीकारोक्ति हेर्दा यदि एउटा दक्ष सम्मोहन कर्ताले एउटा सम्मोहित व्यक्तिलाई
ku_hackfest_part_3_100	उ नेपोलियन बोनापार्ट भएको
ku_hackfest_part_3_101	वा कुकुर विरालो भएको सुझाव दिन्छ भने
ku_hackfest_part_3_102	उसले सो सुझाव अनुरूप
ku_hackfest_part_3_103	नेपोलियन वा कुकुर विरालो जस्तो व्यवहार
ku_hackfest_part_3_104	र क्षमता देखाउँछ निश्चित अवधिको लागि उसको व्यवहार र क्षमता परिवर्तन हुन्छ
ku_hackfest_part_3_105	सम्मोहित व्यक्तिमा आफूलाई सम्मोहन कर्ताले जे भन्छ त्यही हो भन्नेमा पुर्ण विश्वास हुन्छ एक दक्ष सम्मोहन कर्ताले सम्मोहित
ku_hackfest_part_3_106	अवस्थाका व्यक्ति मध्ये एकलाई
ku_hackfest_part_3_107	ढाड चलाइराखेको
ku_hackfest_part_3_108	अर्कोलाई नाकबाट रगत आएको
ku_hackfest_part_3_109	अर्कोलाई उ मूर्ति भएको र अर्कोलाई जाडोले कठाङ्ग्रिएर सुझाव दिनसक्छ
ku_hackfest_part_3_110	हरेक व्यक्तिले वात्रुन र व्यक्तिगत विचारबाट
ku_hackfest_part_3_111	बाहिरिएर
ku_hackfest_part_3_112	आफ्नो सीमा नाघ्दै
ku_hackfest_part_3_113	सम्मोहन कर्ताले दिएको आदेश जस्तै
ku_hackfest_part_3_114	सम्मोहित ले आचरण देखाउँछ
ku_hackfest_part_3_115	यो उदाहरणबाट चेतन र अवचेतन मनको कार्यक्षमता स्पष्ट हुनजान्छ अवचेतन मन व्यक्तिभन्दा माथि रहेका चेतन मनले प्रवाहित गर्ने
ku_hackfest_part_3_116	हरेक सुझावलाई विश्वास गर्छ
ku_hackfest_part_3_117	तसर्थ तपाईलाई उपचार गर्ने प्रेरणा दिने
ku_hackfest_part_3_118	र आनन्दित बनाउने विचारहरू
ku_hackfest_part_3_119	छनौट गर्ने सन्दर्भमा
ku_hackfest_part_3_120	ती विचार
ku_hackfest_part_3_121	निकै महत्वपूर्ण हुन्छन्
ku_hackfest_part_3_122	व्यक्तिपरक र वस्तुपरक मनको अर्थ
ku_hackfest_part_3_123	तपाईंको चेतन मनले वस्तुपरक चेतना मन जनाउँछ
ku_hackfest_part_3_124	किनकि यसले बाहिरी वस्तु सँग सम्बन्धित रहेर कार्य गर्दछ
ku_hackfest_part_3_125	चेतन मनले भौतिक संसारको ज्ञान राख्दछ
ku_hackfest_part_3_126	पाँच ज्ञानेन्द्रियहरु
ku_hackfest_part_3_127	यसका अनुभव र अवलोकनका
ku_hackfest_part_3_128	माध्यम हुन्
ku_hackfest_part_3_129	चेतन मनले दुनियाँसँग को सम्बन्धमा
ku_hackfest_part_3_130	मार्ग निर्देशकको भूमिका निर्वाह गर्दछ
ku_hackfest_part_3_131	वस्तुपरक मनले अवलोकन अनुभव र अध्ययनका आधारमा ज्ञान हासिल गर्दछ
ku_hackfest_part_3_132	पूर्व उल्लेख गरिए अनुरुप चेतन मनको कार्य
ku_hackfest_part_3_133	तर्कशील्ता हो
ku_hackfest_part_3_134	मानौं तपाईं लसएन्जलस घुम्न जाने
ku_hackfest_part_3_135	हजारौं पर्यटक मध्येको एक हुनुहुन्छ
ku_hackfest_part_3_136	त्यसका पार्क सुन्दर बगैंचा
ku_hackfest_part_3_137	भव्य महल
ku_hackfest_part_3_138	र सुन्दर भवनहरूको अवलोकन गरेर
ku_hackfest_part_3_139	तपाईको यो निष्कर्षमा पुग्नुहुन्छ कि
ku_hackfest_part_3_140	शहर सुन्दर छ
ku_hackfest_part_3_141	तपाईको वस्तुपरक मनको कार्यप्रणाली
ku_hackfest_part_3_142   यही हो
ku_hackfest_part_3_143	अवचेतन मनलाई व्यक्तिपरक मन पनि भनिन्छ
ku_hackfest_part_3_144	अवचेतन मनले पाँच ज्ञानेन्द्रिय संग सम्बन्धित नभई
ku_hackfest_part_3_145	ज्ञान हासिल गर्छ
ku_hackfest_part_3_146	अवचेतन मनले अन्तर्बोधको माध्यमबाट ज्ञान हासिल गर्छ
ku_hackfest_part_3_147	यो भावको स्तर हो भने यो स्मृतिको भण्डार पनि हो
ku_hackfest_part_3_148	अवचेतन मनले सबैभन्दा प्रभावकारी रुपमा कार्य गर्दछ
ku_hackfest_part_3_149	चेतन मन
ku_hackfest_part_3_150	यस्तो शक्ति हो
ku_hackfest_part_3_151	जुन निद्रामा हुँदा वा निष्क्रिय हुँदा
ku_hackfest_part_3_152	आफूलाई अझ सक्रिय गर्दछ
ku_hackfest_part_3_153	अवचेतन मनले शरीरका भौतिक केन्द्रमार्फत नभई
ku_hackfest_part_3_154	प्राकृतिक केन्द्रमार्फत देख्दछन्
ku_hackfest_part_3_155	यसमा अन्तरदृष्टि र अन्तरश्रुतीको क्षमता हुन्छ
ku_hackfest_part_3_156	अवचेतन मन तपाईंको शरीर छोडेर
ku_hackfest_part_3_157	हजारौं किलोमिटर दूरी यात्रा गरी
ku_hackfest_part_3_158	तपाईलाई आवश्यक निश्चित तथ्य पत्ता लगाउन सक्छ
ku_hackfest_part_3_159	व्यक्तिपरक मनको प्रयोगले तपाईले अरु को बिचार थाहा पाउन सक्नुहुन्छ
ku_hackfest_part_3_160	बन्द खामभित्र को विवरण पढ्न सक्नुहुन्छ र बन्द सेफभित्र हेर्न सक्नुहुन्छ
ku_hackfest_part_3_161	प्राथना भक्ति वा
ku_hackfest_part_3_162	अभिशाको कला बुझ्न चेतन र अवचेतन मनको
ku_hackfest_part_3_163	अन्तरक्रिया बुझ्नु
ku_hackfest_part_3_164	अति अत्यावश्यक छ
ku_hackfest_part_3_165	अवचेतन मनले क्षेत्र चेतन मन जस्तो
ku_hackfest_part_3_166	तर्क गर्न सक्दैन
ku_hackfest_part_3_167	तपाईंको अवचेतन मनले विवाद गर्न सक्दैन
ku_hackfest_part_3_168	त्यसकारण तपाईंले गलत सुझाव दिनुभए पनि
ku_hackfest_part_3_169	अवचेतन मनले स्वीकार गर्दछ
ku_hackfest_part_3_170	र ती सुझावलाई परिस्थिति अनुभव र घटनाको रुपमा
ku_hackfest_part_3_171	सम्प्रेषण गर्दछ
ku_hackfest_part_3_172	घटेका हरेक घटना र भोगेका हरेक
ku_hackfest_part_3_173	परिस्थितिहरु तपाईंको अवचेतन मनमा
ku_hackfest_part_3_174	विश्वाससहित सञ्चालित
ku_hackfest_part_3_175	प्रतिफल हुन् यदि तपाईंले धेरै गलत र नकारात्मक सन्देश प्रवाहित गर्नुभएको छ भने त्यस्ता सन्देशका असरबाट बच्ने
ku_hackfest_part_3_176	एकमात्र उपाय
ku_hackfest_part_3_177	सोच बिचार एवं विश्वासको नौलो प्रणाली सृजना गर्ने गरी बारम्बार सकारात्मक र प्रगतिशील भाव दोहोर्याउनु नै
ku_hackfest_part_3_178	त्यो उपाय हो
ku_hackfest_part_3_179	किनभने अवचेतन मन तपाईंको नियमित सोचको प्रतिबिम्ब हो
ku_hackfest_part_3_180	चेतन मन को नियमित विचार प्रणालीले अवचेतन मनमा
ku_hackfest_part_3_181	गहिरो प्रभाव पारेको हुन्छ
ku_hackfest_part_3_182	तपाईंका
ku_hackfest_part_3_183	नियमित सोच बिचार सकारात्मक प्रगतिशील रचनात्मक र शान्त छन भने
ku_hackfest_part_3_184	युद्ध थी तपाईंका लागि
ku_hackfest_part_3_185	अति अनुकूल हुनसक्छ
ku_hackfest_part_3_186	तर तपाईंले
ku_hackfest_part_3_187	आफैंलाई भय त्रास चिन्ता तनाव निरस भावमा बढाउनुभएको छ भने
ku_hackfest_part_3_188	यसको उपचार अवचेतन मनको शक्तिको पहिचान गरी प्रफुल्लता
